"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
43,0.26175,-50.947771,"Cerrado","sppI",1
43,0.26175,-50.947771,"Cerrado","sppJ",4
43,0.26175,-50.947771,"Cerrado","sppK",1
44,0.2401,-51.15085,"Cerrado","sppA",0
44,0.2401,-51.15085,"Cerrado","sppB",1
44,0.2401,-51.15085,"Cerrado","sppC",0
44,0.2401,-51.15085,"Cerrado","sppD",0
44,0.2401,-51.15085,"Cerrado","sppE",1
44,0.2401,-51.15085,"Cerrado","sppF",0
44,0.2401,-51.15085,"Cerrado","sppG",2
44,0.2401,-51.15085,"Cerrado","sppH",1
44,0.2401,-51.15085,"Cerrado","sppI",0
44,0.2401,-51.15085,"Cerrado","sppJ",3
44,0.2401,-51.15085,"Cerrado","sppK",0
45,0.21849,-51.24926,"Cerrado","sppA",0
45,0.21849,-51.24926,"Cerrado","sppB",0
45,0.21849,-51.24926,"Cerrado","sppC",1
45,0.21849,-51.24926,"Cerrado","sppD",0
45,0.21849,-51.24926,"Cerrado","sppE",2
45,0.21849,-51.24926,"Cerrado","sppF",0
45,0.21849,-51.24926,"Cerrado","sppG",1
45,0.21849,-51.24926,"Cerrado","sppH",2
45,0.21849,-51.24926,"Cerrado","sppI",1
45,0.21849,-51.24926,"Cerrado","sppJ",2
45,0.21849,-51.24926,"Cerrado","sppK",2
46,0.62238,-51.77753,"Floresta","sppA",0
46,0.62238,-51.77753,"Floresta","sppB",1
46,0.62238,-51.77753,"Floresta","sppC",0
46,0.62238,-51.77753,"Floresta","sppD",0
46,0.62238,-51.77753,"Floresta","sppE",1
46,0.62238,-51.77753,"Floresta","sppF",0
46,0.62238,-51.77753,"Floresta","sppG",1
46,0.62238,-51.77753,"Floresta","sppH",6
46,0.62238,-51.77753,"Floresta","sppI",1
46,0.62238,-51.77753,"Floresta","sppJ",0
46,0.62238,-51.77753,"Floresta","sppK",1
47,0.26604,-50.90021,"Cerrado","sppA",0
47,0.26604,-50.90021,"Cerrado","sppB",0
47,0.26604,-50.90021,"Cerrado","sppC",0
47,0.26604,-50.90021,"Cerrado","sppD",0
47,0.26604,-50.90021,"Cerrado","sppE",2
47,0.26604,-50.90021,"Cerrado","sppF",0
47,0.26604,-50.90021,"Cerrado","sppG",2
47,0.26604,-50.90021,"Cerrado","sppH",3
47,0.26604,-50.90021,"Cerrado","sppI",0
47,0.26604,-50.90021,"Cerrado","sppJ",0
47,0.26604,-50.90021,"Cerrado","sppK",2
48,0.33318,-50.87667,"Cerrado","sppA",0
48,0.33318,-50.87667,"Cerrado","sppB",0
48,0.33318,-50.87667,"Cerrado","sppC",0
48,0.33318,-50.87667,"Cerrado","sppD",0
48,0.33318,-50.87667,"Cerrado","sppE",2
48,0.33318,-50.87667,"Cerrado","sppF",0
48,0.33318,-50.87667,"Cerrado","sppG",2
48,0.33318,-50.87667,"Cerrado","sppH",5
48,0.33318,-50.87667,"Cerrado","sppI",1
48,0.33318,-50.87667,"Cerrado","sppJ",0
48,0.33318,-50.87667,"Cerrado","sppK",1
49,0.5785,-50.79934,"Cerrado","sppA",0
49,0.5785,-50.79934,"Cerrado","sppB",3
